Species,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum_A,TwigArea_sum_B,TwigArea_sum_C,TwigArea_sum_D,TwigHerbProp_A,TwigHerbProp_B,TwigHerbProp_C,TwigHerbProp_D,TwigHerbivory_sum_A,TwigHerbivory_sum_B,TwigHerbivory_sum_C,TwigHerbivory_sum_D
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_1CN1_Red,155.10541,225.11954,157.73524,234.817,0.001454624,0.010546175,0,0,0.22562,2.37415,0,0
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_2CN1_Red,157.86432,225.61204,147.4348,225.6119,0,0.008583274,0.001279413,0.00858328,0,1.93649,0.18863,1.93649
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_3CN1_Red,140.08326,207.40044,133.20515,246.6786,0,0.048817158,0,0.008402715,0,10.1247,0,2.07277
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_4CN1_Red,136.43204,188.96052,132.26016,192.1125,0.002241629,0.019958984,3.78e-4,0.021421459,0.30583,3.77146,0.05002,4.11533
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_5CN1_Red,141.63145,209.22832,135.00982,200.8261,0.002282685,0.008470794,0,0.020609473,0.3233,1.77233,0,4.13892
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_1CN1_White,138.51223,203.08586,127.82691,234.817,0,0.017804292,0.001539425,0.043027421,0,3.6158,0.19678,10.10357
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_2CN1_White,132.88157,202.82466,151.2572,202.8245,0.001798594,0.019395176,0,0.019395191,0.239,3.93382,0,3.93382
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_3CN1_White,131.60218,188.58141,124.48639,212.0852,5.7e-4,0.017166538,1.16e-4,0.020674144,0.07507,3.23729,0.01444,4.38468
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_4CN1_White,149.56326,206.82451,138.1412,207.1756,0.001365242,0.004548445,0,0.004752828,0.20419,0.94073,0,0.98467
SP7,Ulmus_glabra,LAK,LAK_Ulmus_glabra_5CN1_White,134.24665,215.56688,175.05451,221.9194,0,0.017182602,0.001349808,0.004627761,0,3.704,0.23629,1.02699
SP3,Fraxinus_excelsior,LAK,LAK_Fraxinus_excelsior_3CN1_Red,NA,NA,NA,368.3194,NA,NA,NA,0.018466554,NA,NA,NA,6.80159
SP4,Acer_mono,TOM,TOM_Acer_mono_1CN1_Blue,179.20119,275.78133,210.48581,271.304,0,0.021531914,0,0.005473565,0,5.9381,0,1.485
SP4,Acer_mono,TOM,TOM_Acer_mono_2CN1_Blue,106.05639,298.01292,135.90499,295.1035,0,0.016560155,0,0.006723065,0,4.93514,0,1.984
SP4,Acer_mono,TOM,TOM_Acer_mono_3CN1_Blue,258.60527,334.04401,185.4052,365.068,0,0.010188178,0,0.094483767,0,3.4033,0,34.493
SP4,Acer_mono,TOM,TOM_Acer_mono_4CN1_Blue,418.07144,650.92544,507.61272,644.632,0,0.026264882,0,0.016804937,0,17.09648,0,10.833
SP4,Acer_mono,TOM,TOM_Acer_mono_5CN1_Blue,270.25389,285.85095,230.08087,278.588,0,0.025941387,0,3.34e-4,0,7.41537,0,0.093
SP4,Acer_mono,TOM,TOM_Acer_mono_1CN1_Red,174.84258,333.94351,41.54522,332.604,0,0.029731855,0,0.025625068,0,9.92876,0,8.523
SP4,Acer_mono,TOM,TOM_Acer_mono_2CN1_Red,147.9886,305.9766,166.03548,306.2195,0,0.033844712,0,0.034628755,0,10.35569,0,10.604
SP4,Acer_mono,TOM,TOM_Acer_mono_3CN1_Red,302.83849,301.13333,283.93035,296.5925,0,0.018040215,0,0.003236764,0,5.43251,0,0.96
SP4,Acer_mono,TOM,TOM_Acer_mono_4CN1_Red,375.14009,338.72624,424.34309,332.719,0,0.019697145,0,0.002121911,0,6.67194,0,0.706
SP4,Acer_mono,TOM,TOM_Acer_mono_5CN1_Red,160.7507,257.13204,239.92207,251.4255,0,0.03247281,0,0.010281376,0,8.3498,0,2.585
SP4,Acer_mono,TOM,TOM_Acer_mono_1CN1_White,222.12545,141.73542,316.29073,138.8185,0,0.044942542,6.82e-4,0.024485209,0,6.36995,0.21584,3.399
SP4,Acer_mono,TOM,TOM_Acer_mono_2CN1_White,203.20436,NA,146.07711,NA,0,NA,0,NA,0,NA,0,NA
SP4,Acer_mono,TOM,TOM_Acer_mono_3CN1_White,134.48668,291.97893,263.08961,287.8045,0,0.034120955,0,0.019957992,0,9.9626,0,5.744
SP4,Acer_mono,TOM,TOM_Acer_mono_4CN1_White,298.32141,453.50891,299.07023,665.0565,0,0.007947892,0,0.323314636,0,3.60444,0,215.0225
SP4,Acer_mono,TOM,TOM_Acer_mono_5CN1_White,201.7746,312.09962,164.39697,308.841,0,0.011349838,0,0.001019942,0,3.54228,0,0.315
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_1CN1_Blue,260.3133,277.12433,141.29349,272.411,0,0.043846096,0,0.026757363,0,12.15082,0,7.289
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_2CN1_Blue,256.52005,300.79651,249.75702,298.6105,2.63e-4,0.015998191,0,0.008961507,0.06744,4.8122,0,2.676
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_3CN1_Blue,311.79556,401.02683,218.20114,396.3555,5.05e-4,0.012579557,0,8.63e-4,0.15752,5.04474,0,0.342
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_4CN1_Blue,46.27096,NA,64.67427,NA,0,NA,0,NA,0,NA,0,NA
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_5CN1_Blue,252.36879,295.52633,131.9563,291.932,0,0.024080156,0,0.011598591,0,7.11632,0,3.386
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_1CN1_Red,203.88959,336.54054,146.84457,367.4185,0,0.022165799,0,0.104495283,0,7.45969,0,38.3935
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_2CN1_Red,187.91765,270.07851,278.34663,267.859,0,0.031003355,0,0.022407311,0,8.37334,0,6.002
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_3CN1_Red,235.2816,281.2691,170.08936,281.656,5.03e-4,0.053974077,0,0.05519499,0.11827,15.18124,0,15.546
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_4CN1_Red,55.00171,96.76923,68.58303,91.8675,0,0.061715072,0,0.012452717,0,5.97212,0,1.144
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_5CN1_Red,144.17791,228.21142,244.82781,226.193,0,0.07508314,0,0.067482194,0,17.13483,0,15.264
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_1CN1_White,103.81723,153.88882,289.08704,150.602,0,0.022710812,0,0.001440884,0,3.49494,0,0.217
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_2CN1_White,213.89168,320.9706,152.2728,320.2305,0,0.006174273,0,0.003716073,0,1.98176,0,1.19
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_3CN1_White,252.21951,380.01003,382.86422,375.4795,0,0.01387866,3.64e-4,0.001957497,0,5.27403,0.13951,0.735
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_4CN1_White,69.99736,133.51092,27.19076,130.7765,0,0.054873264,0,0.034990996,0,7.32618,0,4.576
SP6,Acer_palmatum,TOM,TOM_Acer_palmatum_5CN1_White,230.30898,310.56624,247.10156,305.3915,0,0.021350324,0,0.004970669,0,6.63069,0,1.518
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_1CN1_Blue,21.99117,61.76382,21.51542,58.101,0,0.088190141,0,0.028708628,0,5.44696,0,1.668
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_2CN1_Blue,27.38244,44.05133,24.20806,39.425,0,0.154327009,0,0.055675333,0,6.79831,0,2.195
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_3CN1_Blue,28.06617,37.01131,24.83428,38.968,0,0.084601977,0,0.1322752,0,3.13123,0,5.1545
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_4CN1_Blue,32.22389,63.56451,56.065,62.292,0,0.068409715,0,0.04864188,0,4.34843,0,3.03
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_5CN1_Blue,46.86373,36.82713,36.92367,38.0105,6.81e-4,0.136308205,0,0.159574328,0.03193,5.01984,0,6.0655
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_1CN1_Red,73.26082,41.1554,39.30313,45.829,0,0.032674692,0,0.127822994,0,1.34474,0,5.858
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_2CN1_Red,31.01856,34.02942,33.55351,34.634,0,0.130270807,0,0.145954842,0,4.43304,0,5.055
SP8,Betula_maximowicziana,TOM,TOM_Betula_maximowicziana_3CN1_Red,26.62516,35.30213,29.78144,34.8695,0,0.133973786,0,0.123445991,0,4.72956,0,4.3045
