Site,Patrol,Experiment,SpeciesAnal,Species,Twig,TwigCodeUnique,TwigArea_sum,TwigHerbivory_sum,HerbProp,Treatment,TwigCodeNoPatrol
LAK,A,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_5CN2_A_Blue,222.77879,0.04419,1.98E-04,5CN2,LAK_Carpinus_betulus_5CN2_Blue
LAK,A,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_1CN2_A_Red,173.68199,0,0,1CN2,LAK_Carpinus_betulus_1CN2_Red
LAK,A,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_2CN2_A_Red,69.76437,0.08686,0.001245048,2CN2,LAK_Carpinus_betulus_2CN2_Red
LAK,A,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_3CN2_A_Red,490.59748,0.14662,2.99E-04,3CN2,LAK_Carpinus_betulus_3CN2_Red
LAK,A,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_4CN2_A_Red,197.09151,0.69655,0.003534145,4CN2,LAK_Carpinus_betulus_4CN2_Red
LAK,A,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_5CN2_A_Red,227.48079,0.24647,0.001083476,5CN2,LAK_Carpinus_betulus_5CN2_Red
LAK,A,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_1CN2_A_White,125.36519,0,0,1CN2,LAK_Carpinus_betulus_1CN2_White
LAK,A,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_2CN2_A_White,88.91702,0.07064,7.94E-04,2CN2,LAK_Carpinus_betulus_2CN2_White
LAK,A,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_3CN2_A_White,472.53213,0,0,3CN2,LAK_Carpinus_betulus_3CN2_White
LAK,A,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_4CN2_A_White,203.13092,0,0,4CN2,LAK_Carpinus_betulus_4CN2_White
LAK,A,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_5CN2_A_White,263.78683,0.05336,2.02E-04,5CN2,LAK_Carpinus_betulus_5CN2_White
LAK,A,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_1CN2_A_Blue,51.55006,0.08869,0.001720464,1CN2,LAK_Fraxinus_excelsior_1CN2_Blue
LAK,A,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_2CN2_A_Blue,44.4564,0.12602,0.002834687,2CN2,LAK_Fraxinus_excelsior_2CN2_Blue
LAK,A,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_3CN2_A_Blue,111.74767,0.03063,2.74E-04,3CN2,LAK_Fraxinus_excelsior_3CN2_Blue
LAK,A,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_4CN2_A_Blue,57.97804,0,0,4CN2,LAK_Fraxinus_excelsior_4CN2_Blue
LAK,A,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_5CN2_A_Blue,42.00045,0.04807,0.001144512,5CN2,LAK_Fraxinus_excelsior_5CN2_Blue
LAK,A,4MO,Fraxinus_excelsior,SP3,Red,Fraxinus_excelsior_1CN2_A_Red,52.32103,0.08584,0.00164064,1CN2,LAK_Fraxinus_excelsior_1CN2_Red
LAK,A,4MO,Fraxinus_excelsior,SP3,Red,Fraxinus_excelsior_2CN2_A_Red,59.35812,0,0,2CN2,LAK_Fraxinus_excelsior_2CN2_Red
LAK,A,4MO,Fraxinus_excelsior,SP3,Red,Fraxinus_excelsior_3CN2_A_Red,247.74667,0.18148,7.33E-04,3CN2,LAK_Fraxinus_excelsior_3CN2_Red
LAK,A,4MO,Fraxinus_excelsior,SP3,Red,Fraxinus_excelsior_4CN2_A_Red,59.68851,0.00797,1.34E-04,4CN2,LAK_Fraxinus_excelsior_4CN2_Red
LAK,A,4MO,Fraxinus_excelsior,SP3,Red,Fraxinus_excelsior_5CN2_A_Red,65.51532,0,0,5CN2,LAK_Fraxinus_excelsior_5CN2_Red
LAK,A,4MO,Fraxinus_excelsior,SP3,White,Fraxinus_excelsior_1CN2_A_White,52.88934,0.00683,1.29E-04,1CN2,LAK_Fraxinus_excelsior_1CN2_White
LAK,A,4MO,Fraxinus_excelsior,SP3,White,Fraxinus_excelsior_2CN2_A_White,58.40136,0,0,2CN2,LAK_Fraxinus_excelsior_2CN2_White
LAK,A,4MO,Fraxinus_excelsior,SP3,White,Fraxinus_excelsior_3CN2_A_White,126.47328,0.05438,4.30E-04,3CN2,LAK_Fraxinus_excelsior_3CN2_White
LAK,A,4MO,Fraxinus_excelsior,SP3,White,Fraxinus_excelsior_4CN2_A_White,58.25789,0,0,4CN2,LAK_Fraxinus_excelsior_4CN2_White
LAK,A,4MO,Fraxinus_excelsior,SP3,White,Fraxinus_excelsior_5CN2_A_White,62.24588,0,0,5CN2,LAK_Fraxinus_excelsior_5CN2_White
LAK,A,4MO,Quercus_robur,SP5,Blue,Quercus_robur_1CN2_A_Blue,202.74003,0.12255,6.04E-04,1CN2,LAK_Quercus_robur_1CN2_Blue
LAK,A,4MO,Quercus_robur,SP5,Blue,Quercus_robur_2CN2_A_Blue,310.07227,0.22462,7.24E-04,2CN2,LAK_Quercus_robur_2CN2_Blue
LAK,A,4MO,Quercus_robur,SP5,Blue,Quercus_robur_3CN2_A_Blue,212.22034,0.15368,7.24E-04,3CN2,LAK_Quercus_robur_3CN2_Blue
LAK,A,4MO,Quercus_robur,SP5,Blue,Quercus_robur_4CN2_A_Blue,289.07106,0,0,4CN2,LAK_Quercus_robur_4CN2_Blue
LAK,A,4MO,Quercus_robur,SP5,Blue,Quercus_robur_5CN2_A_Blue,190.77432,0.06627,3.47E-04,5CN2,LAK_Quercus_robur_5CN2_Blue
LAK,A,4MO,Quercus_robur,SP5,Red,Quercus_robur_1CN2_A_Red,199.89228,0,0,1CN2,LAK_Quercus_robur_1CN2_Red
LAK,A,4MO,Quercus_robur,SP5,Red,Quercus_robur_2CN2_A_Red,293.739,0.05834,1.99E-04,2CN2,LAK_Quercus_robur_2CN2_Red
LAK,A,4MO,Quercus_robur,SP5,Red,Quercus_robur_3CN2_A_Red,199.99735,0,0,3CN2,LAK_Quercus_robur_3CN2_Red
LAK,A,4MO,Quercus_robur,SP5,Red,Quercus_robur_4CN2_A_Red,292.49223,0.06342,2.17E-04,4CN2,LAK_Quercus_robur_4CN2_Red
LAK,A,4MO,Quercus_robur,SP5,Red,Quercus_robur_5CN2_A_Red,182.71416,0,0,5CN2,LAK_Quercus_robur_5CN2_Red
LAK,A,4MO,Quercus_robur,SP5,White,Quercus_robur_1CN2_A_White,334.07608,0,0,1CN2,LAK_Quercus_robur_1CN2_White
LAK,A,4MO,Quercus_robur,SP5,White,Quercus_robur_2CN2_A_White,282.06455,0.40021,0.00141886,2CN2,LAK_Quercus_robur_2CN2_White
LAK,A,4MO,Quercus_robur,SP5,White,Quercus_robur_3CN2_A_White,318.24568,0,0,3CN2,LAK_Quercus_robur_3CN2_White
LAK,A,4MO,Quercus_robur,SP5,White,Quercus_robur_4CN2_A_White,284.01305,0,0,4CN2,LAK_Quercus_robur_4CN2_White
LAK,A,4MO,Quercus_robur,SP5,White,Quercus_robur_5CN2_A_White,179.17084,0,0,5CN2,LAK_Quercus_robur_5CN2_White
LAK,A,4MO,Tilia_cordata,SP1,Blue,Tilia_cordata_1CN2_A_Blue,241.55886,0.24919,0.001031591,1CN2,LAK_Tilia_cordata_1CN2_Blue
LAK,A,4MO,Tilia_cordata,SP1,Blue,Tilia_cordata_2CN2_A_Blue,202.09828,0,0,2CN2,LAK_Tilia_cordata_2CN2_Blue
LAK,A,4MO,Tilia_cordata,SP1,Blue,Tilia_cordata_3CN2_A_Blue,229.06153,0.33499,0.001462445,3CN2,LAK_Tilia_cordata_3CN2_Blue
LAK,A,4MO,Tilia_cordata,SP1,Blue,Tilia_cordata_4CN2_A_Blue,195.73191,0.20148,0.001029367,4CN2,LAK_Tilia_cordata_4CN2_Blue
LAK,A,4MO,Tilia_cordata,SP1,Blue,Tilia_cordata_5CN2_A_Blue,203.10394,0.41676,0.002051954,5CN2,LAK_Tilia_cordata_5CN2_Blue
LAK,A,4MO,Tilia_cordata,SP1,Red,Tilia_cordata_1CN2_A_Red,594.93942,0,0,1CN2,LAK_Tilia_cordata_1CN2_Red
LAK,A,4MO,Tilia_cordata,SP1,Red,Tilia_cordata_2CN2_A_Red,365.03627,0.37461,0.001026227,2CN2,LAK_Tilia_cordata_2CN2_Red
LAK,A,4MO,Tilia_cordata,SP1,Red,Tilia_cordata_3CN2_A_Red,527.42123,0.45026,8.54E-04,3CN2,LAK_Tilia_cordata_3CN2_Red
LAK,A,4MO,Tilia_cordata,SP1,Red,Tilia_cordata_4CN2_A_Red,359.45602,0,0,4CN2,LAK_Tilia_cordata_4CN2_Red
LAK,A,4MO,Tilia_cordata,SP1,Red,Tilia_cordata_5CN2_A_Red,360.15756,0,0,5CN2,LAK_Tilia_cordata_5CN2_Red
LAK,A,4MO,Tilia_cordata,SP1,White,Tilia_cordata_1CN2_A_White,494.2364,0.56152,0.001136136,1CN2,LAK_Tilia_cordata_1CN2_White
LAK,A,4MO,Tilia_cordata,SP1,White,Tilia_cordata_2CN2_A_White,244.51015,0.26257,0.001073861,2CN2,LAK_Tilia_cordata_2CN2_White
LAK,A,4MO,Tilia_cordata,SP1,White,Tilia_cordata_3CN2_A_White,515.06622,1.56093,0.003030542,3CN2,LAK_Tilia_cordata_3CN2_White
LAK,A,4MO,Tilia_cordata,SP1,White,Tilia_cordata_4CN2_A_White,251.09835,0.47205,0.001879941,4CN2,LAK_Tilia_cordata_4CN2_White
LAK,A,4MO,Tilia_cordata,SP1,White,Tilia_cordata_5CN2_A_White,301.58919,0.40865,0.001354989,5CN2,LAK_Tilia_cordata_5CN2_White
LAK,A,4MO,Ulmus_glabra,SP7,Blue,Ulmus_glabra_1CN2_A_Blue,142.92853,0.11254,7.87E-04,1CN2,LAK_Ulmus_glabra_1CN2_Blue
LAK,A,4MO,Ulmus_glabra,SP7,Blue,Ulmus_glabra_2CN2_A_Blue,235.16444,0.1567,6.66E-04,2CN2,LAK_Ulmus_glabra_2CN2_Blue
LAK,A,4MO,Ulmus_glabra,SP7,Blue,Ulmus_glabra_3CN2_A_Blue,158.69567,0.09742,6.14E-04,3CN2,LAK_Ulmus_glabra_3CN2_Blue
LAK,A,4MO,Ulmus_glabra,SP7,Blue,Ulmus_glabra_4CN2_A_Blue,230.10552,0.01767,7.68E-05,4CN2,LAK_Ulmus_glabra_4CN2_Blue
LAK,A,4MO,Ulmus_glabra,SP7,Blue,Ulmus_glabra_5CN2_A_Blue,144.9097,0,0,5CN2,LAK_Ulmus_glabra_5CN2_Blue
LAK,A,4MO,Ulmus_glabra,SP7,Red,Ulmus_glabra_1CN2_A_Red,142.35741,0,0,1CN2,LAK_Ulmus_glabra_1CN2_Red
LAK,A,4MO,Ulmus_glabra,SP7,Red,Ulmus_glabra_2CN2_A_Red,252.02033,0,0,2CN2,LAK_Ulmus_glabra_2CN2_Red
LAK,A,4MO,Ulmus_glabra,SP7,Red,Ulmus_glabra_3CN2_A_Red,189.3124,0.45806,0.002419599,3CN2,LAK_Ulmus_glabra_3CN2_Red
LAK,A,4MO,Ulmus_glabra,SP7,Red,Ulmus_glabra_4CN2_A_Red,185.47327,0,0,4CN2,LAK_Ulmus_glabra_4CN2_Red
LAK,A,4MO,Ulmus_glabra,SP7,Red,Ulmus_glabra_5CN2_A_Red,119.0069,0,0,5CN2,LAK_Ulmus_glabra_5CN2_Red
LAK,A,4MO,Ulmus_glabra,SP7,White,Ulmus_glabra_1CN2_A_White,200.18444,0,0,1CN2,LAK_Ulmus_glabra_1CN2_White
LAK,A,4MO,Ulmus_glabra,SP7,White,Ulmus_glabra_2CN2_A_White,220.00136,0,0,2CN2,LAK_Ulmus_glabra_2CN2_White
LAK,A,4MO,Ulmus_glabra,SP7,White,Ulmus_glabra_3CN2_A_White,190.20918,0.2408,0.001265975,3CN2,LAK_Ulmus_glabra_3CN2_White
LAK,A,4MO,Ulmus_glabra,SP7,White,Ulmus_glabra_4CN2_A_White,218.64286,0,0,4CN2,LAK_Ulmus_glabra_4CN2_White
LAK,A,4MO,Ulmus_glabra,SP7,White,Ulmus_glabra_5CN2_A_White,187.76154,0.21609,0.001150875,5CN2,LAK_Ulmus_glabra_5CN2_White
LAK,B,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_1CN2_B_Blue,997.51245,44.2727,0.044383105,1CN2,LAK_Acer_platanoides_1CN2_Blue
LAK,B,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_2CN2_B_Blue,900.12725,19.19188,0.021321297,2CN2,LAK_Acer_platanoides_2CN2_Blue
LAK,B,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_3CN2_B_Blue,686.40144,31.30925,0.045613614,3CN2,LAK_Acer_platanoides_3CN2_Blue
LAK,B,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_4CN2_B_Blue,387.82396,20.70535,0.053388527,4CN2,LAK_Acer_platanoides_4CN2_Blue
LAK,B,4MO,Acer_platanoides,SP4,Blue,Acer_platanoides_5CN2_B_Blue,898.96856,48.55355,0.054010287,5CN2,LAK_Acer_platanoides_5CN2_Blue
LAK,B,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_1CN2_B_Red,718.20944,44.50793,0.061970684,1CN2,LAK_Acer_platanoides_1CN2_Red
LAK,B,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_2CN2_B_Red,1106.08586,6.95129,0.006284584,2CN2,LAK_Acer_platanoides_2CN2_Red
LAK,B,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_3CN2_B_Red,1399.86328,61.6233,0.044020942,3CN2,LAK_Acer_platanoides_3CN2_Red
LAK,B,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_4CN2_B_Red,863.73982,48.25165,0.05586364,4CN2,LAK_Acer_platanoides_4CN2_Red
LAK,B,4MO,Acer_platanoides,SP4,Red,Acer_platanoides_5CN2_B_Red,856.60672,27.02887,0.031553418,5CN2,LAK_Acer_platanoides_5CN2_Red
LAK,B,4MO,Acer_platanoides,SP4,White,Acer_platanoides_1CN2_B_White,1628.03142,93.61324,0.05750088,1CN2,LAK_Acer_platanoides_1CN2_White
LAK,B,4MO,Acer_platanoides,SP4,White,Acer_platanoides_2CN2_B_White,1123.13899,32.40807,0.028854906,2CN2,LAK_Acer_platanoides_2CN2_White
LAK,B,4MO,Acer_platanoides,SP4,White,Acer_platanoides_3CN2_B_White,1485.76321,117.1696,0.078861557,3CN2,LAK_Acer_platanoides_3CN2_White
LAK,B,4MO,Acer_platanoides,SP4,White,Acer_platanoides_4CN2_B_White,443.5613,18.94728,0.04271626,4CN2,LAK_Acer_platanoides_4CN2_White
LAK,B,4MO,Acer_platanoides,SP4,White,Acer_platanoides_5CN2_B_White,1314.70298,54.10658,0.041154984,5CN2,LAK_Acer_platanoides_5CN2_White
LAK,B,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_1CN2_B_Blue,532.046,26.07648,0.049011702,1CN2,LAK_Acer_pseudoplatanus_1CN2_Blue
LAK,B,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_2CN2_B_Blue,770.79524,52.0756,0.067560874,2CN2,LAK_Acer_pseudoplatanus_2CN2_Blue
LAK,B,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_3CN2_B_Blue,808.56968,53.34409,0.065973399,3CN2,LAK_Acer_pseudoplatanus_3CN2_Blue
LAK,B,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_4CN2_B_Blue,1628.58757,73.75995,0.045290748,4CN2,LAK_Acer_pseudoplatanus_4CN2_Blue
LAK,B,4MO,Acer_pseudoplatanus,SP2,Blue,Acer_pseudoplatanus_5CN2_B_Blue,1488.40911,74.25687,0.049890094,5CN2,LAK_Acer_pseudoplatanus_5CN2_Blue
LAK,B,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_1CN2_B_Red,983.677,29.29046,0.029776502,1CN2,LAK_Acer_pseudoplatanus_1CN2_Red
LAK,B,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_2CN2_B_Red,897.23025,44.87474,0.050014743,2CN2,LAK_Acer_pseudoplatanus_2CN2_Red
LAK,B,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_3CN2_B_Red,958.94136,49.59636,0.051719909,3CN2,LAK_Acer_pseudoplatanus_3CN2_Red
LAK,B,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_4CN2_B_Red,1704.51576,78.39607,0.045993162,4CN2,LAK_Acer_pseudoplatanus_4CN2_Red
LAK,B,4MO,Acer_pseudoplatanus,SP2,Red,Acer_pseudoplatanus_5CN2_B_Red,1869.86338,86.92324,0.046486412,5CN2,LAK_Acer_pseudoplatanus_5CN2_Red
LAK,B,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_1CN2_B_White,964.11571,29.23148,0.030319473,1CN2,LAK_Acer_pseudoplatanus_1CN2_White
LAK,B,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_2CN2_B_White,726.90939,32.95787,0.045339722,2CN2,LAK_Acer_pseudoplatanus_2CN2_White
LAK,B,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_3CN2_B_White,761.1399,29.00257,0.038104125,3CN2,LAK_Acer_pseudoplatanus_3CN2_White
LAK,B,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_4CN2_B_White,1353.80179,67.01358,0.049500289,4CN2,LAK_Acer_pseudoplatanus_4CN2_White
LAK,B,4MO,Acer_pseudoplatanus,SP2,White,Acer_pseudoplatanus_5CN2_B_White,1293.26189,88.95834,0.068786021,5CN2,LAK_Acer_pseudoplatanus_5CN2_White
LAK,B,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_1CN2_B_Blue,219.87689,9.82647,0.044690781,1CN2,LAK_Carpinus_betulus_1CN2_Blue
LAK,B,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_2CN2_B_Blue,96.35731,4.7805,0.049612219,2CN2,LAK_Carpinus_betulus_2CN2_Blue
LAK,B,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_3CN2_B_Blue,570.51841,24.83317,0.043527377,3CN2,LAK_Carpinus_betulus_3CN2_Blue
LAK,B,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_4CN2_B_Blue,278.04234,16.32428,0.05871149,4CN2,LAK_Carpinus_betulus_4CN2_Blue
LAK,B,4MO,Carpinus_betulus,SP6,Blue,Carpinus_betulus_5CN2_B_Blue,273.36605,12.32564,0.045088408,5CN2,LAK_Carpinus_betulus_5CN2_Blue
LAK,B,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_1CN2_B_Red,208.0551,14.37971,0.069114912,1CN2,LAK_Carpinus_betulus_1CN2_Red
LAK,B,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_2CN2_B_Red,86.08848,2.85423,0.03315461,2CN2,LAK_Carpinus_betulus_2CN2_Red
LAK,B,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_3CN2_B_Red,586.14927,40.53072,0.069147437,3CN2,LAK_Carpinus_betulus_3CN2_Red
LAK,B,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_4CN2_B_Red,252.67305,12.27433,0.048577915,4CN2,LAK_Carpinus_betulus_4CN2_Red
LAK,B,4MO,Carpinus_betulus,SP6,Red,Carpinus_betulus_5CN2_B_Red,269.87986,11.42957,0.042350585,5CN2,LAK_Carpinus_betulus_5CN2_Red
LAK,B,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_1CN2_B_White,158.77022,8.15665,0.051373929,1CN2,LAK_Carpinus_betulus_1CN2_White
LAK,B,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_2CN2_B_White,112.27728,3.32743,0.029635827,2CN2,LAK_Carpinus_betulus_2CN2_White
LAK,B,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_3CN2_B_White,578.56736,37.30082,0.064471006,3CN2,LAK_Carpinus_betulus_3CN2_White
LAK,B,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_4CN2_B_White,255.49638,11.86787,0.046450247,4CN2,LAK_Carpinus_betulus_4CN2_White
LAK,B,4MO,Carpinus_betulus,SP6,White,Carpinus_betulus_5CN2_B_White,325.68309,16.95127,0.052048358,5CN2,LAK_Carpinus_betulus_5CN2_White
LAK,B,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_1CN2_B_Blue,65.72407,3.84525,0.058505963,1CN2,LAK_Fraxinus_excelsior_1CN2_Blue
LAK,B,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_2CN2_B_Blue,52.07089,1.71565,0.032948352,2CN2,LAK_Fraxinus_excelsior_2CN2_Blue
LAK,B,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_3CN2_B_Blue,139.08575,6.75369,0.048557742,3CN2,LAK_Fraxinus_excelsior_3CN2_Blue
LAK,B,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_4CN2_B_Blue,72.12454,1.93488,0.02682693,4CN2,LAK_Fraxinus_excelsior_4CN2_Blue
LAK,B,4MO,Fraxinus_excelsior,SP3,Blue,Fraxinus_excelsior_5CN2_B_Blue,52.66695,2.74796,0.052176175,5CN2,LAK_Fraxinus_excelsior_5CN2_Blue
