"Species","Patrol","SpeciesAnal","Site","TwigCodeNoPatrol","SaplingCodeNoPatrol","SaplingCodeUnique","TwigCodeUnique","TwigArea_sum_AC","TwigArea_sum_BD","TwigHerbivory_sum_AC","TwigHerbivory_sum_BD","TwigHerbProp_AC","TwigHerbProp_BD","StartEndDiff_AC","StartEndDiff_BD","PatrolGroup","TwigHerbProp_combined"
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_3CN1_Blue","LAK_Acer_pseudoplatanus_3CN1","LAK_Acer_pseudoplatanus_3CN1_A","LAK_Acer_pseudoplatanus_3CN1_Blue_A",612.4603,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_4CN1_Red","","BUB_Baccaurea_ramiflora_4CN1_D","BUB_Baccaurea_ramiflora_4CN1_Red_D",NA,585.23785,NA,35.49726,0,0.060654416,NA,0.053523515,"DB",0.060654416
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_3CN1_Blue","LAK_Acer_pseudoplatanus_3CN1","LAK_Acer_pseudoplatanus_3CN1_C","LAK_Acer_pseudoplatanus_3CN1_Blue_C",763.14509,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_4CN1_White","BUB_Baccaurea_ramiflora_4CN1","BUB_Baccaurea_ramiflora_4CN1_B","BUB_Baccaurea_ramiflora_4CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_3CN1_Red","LAK_Acer_pseudoplatanus_3CN1","LAK_Acer_pseudoplatanus_3CN1_C","LAK_Acer_pseudoplatanus_3CN1_Red_C",744.57277,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_4CN1_White","BUB_Baccaurea_ramiflora_4CN1","BUB_Baccaurea_ramiflora_4CN1_D","BUB_Baccaurea_ramiflora_4CN1_White_D",NA,291.93769,NA,10.73528,0,0.036772504,NA,0.032125177,"DB",0.036772504
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_3CN1_White","LAK_Acer_pseudoplatanus_3CN1","LAK_Acer_pseudoplatanus_3CN1_A","LAK_Acer_pseudoplatanus_3CN1_White_A",666.73942,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_5CN1_Blue","BUB_Baccaurea_ramiflora_5CN1","BUB_Baccaurea_ramiflora_5CN1_B","BUB_Baccaurea_ramiflora_5CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_3CN1_White","LAK_Acer_pseudoplatanus_3CN1","LAK_Acer_pseudoplatanus_3CN1_C","LAK_Acer_pseudoplatanus_3CN1_White_C",713.75248,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_5CN1_Blue","BUB_Baccaurea_ramiflora_5CN1","BUB_Baccaurea_ramiflora_5CN1_D","BUB_Baccaurea_ramiflora_5CN1_Blue_D",NA,471.78126,NA,29.6731,0,0.062895885,NA,0.052439627,"DB",0.062895885
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_4CN1_Red","LAK_Acer_pseudoplatanus_4CN1","LAK_Acer_pseudoplatanus_4CN1_C","LAK_Acer_pseudoplatanus_4CN1_Red_C",691.59778,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_5CN1_Red","BUB_Baccaurea_ramiflora_5CN1","BUB_Baccaurea_ramiflora_5CN1_B","BUB_Baccaurea_ramiflora_5CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_4CN1_White","LAK_Acer_pseudoplatanus_4CN1","LAK_Acer_pseudoplatanus_4CN1_A","LAK_Acer_pseudoplatanus_4CN1_White_A",662.74313,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_5CN1_Red","BUB_Baccaurea_ramiflora_5CN1","BUB_Baccaurea_ramiflora_5CN1_D","BUB_Baccaurea_ramiflora_5CN1_Red_D",NA,396.26611,NA,21.16624,0,0.053414207,NA,0.031967516,"DB",0.053414207
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_5CN1_Blue","LAK_Acer_pseudoplatanus_5CN1","LAK_Acer_pseudoplatanus_5CN1_A","LAK_Acer_pseudoplatanus_5CN1_Blue_A",958.2543,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","B","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_5CN1_White","BUB_Baccaurea_ramiflora_5CN1","BUB_Baccaurea_ramiflora_5CN1_B","BUB_Baccaurea_ramiflora_5CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP2","A","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_5CN1_Red","LAK_Acer_pseudoplatanus_5CN1","LAK_Acer_pseudoplatanus_5CN1_A","LAK_Acer_pseudoplatanus_5CN1_Red_A",1229.49274,NA,0,NA,0,0,NA,NA,"AC",NA
"SP4","D","Baccaurea_ramiflora","BUB","BUB_Baccaurea_ramiflora_5CN1_White","BUB_Baccaurea_ramiflora_5CN1","BUB_Baccaurea_ramiflora_5CN1_D","BUB_Baccaurea_ramiflora_5CN1_White_D",NA,202.19599,NA,8.00391,0,0.03958491,NA,0.017799254,"DB",0.03958491
"SP2","C","Acer_pseudoplatanus","LAK","LAK_Acer_pseudoplatanus_5CN1_White","LAK_Acer_pseudoplatanus_5CN1","LAK_Acer_pseudoplatanus_5CN1_C","LAK_Acer_pseudoplatanus_5CN1_White_C",932.89758,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_1CN1_Blue","BUB_Cleidion_brevipetiolatum_1CN1","BUB_Cleidion_brevipetiolatum_1CN1_B","BUB_Cleidion_brevipetiolatum_1CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP6","C","Carpinus_betulus","LAK","LAK_Carpinus_betulus_1CN1_Blue","LAK_Carpinus_betulus_1CN1","LAK_Carpinus_betulus_1CN1_C","LAK_Carpinus_betulus_1CN1_Blue_C",174.22867,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_1CN1_Blue","BUB_Cleidion_brevipetiolatum_1CN1","BUB_Cleidion_brevipetiolatum_1CN1_D","BUB_Cleidion_brevipetiolatum_1CN1_Blue_D",NA,243.63638,NA,13.84198,0,0.056814093,NA,0.040876807,"DB",0.056814093
"SP6","A","Carpinus_betulus","LAK","LAK_Carpinus_betulus_2CN1_Blue","LAK_Carpinus_betulus_2CN1","LAK_Carpinus_betulus_2CN1_A","LAK_Carpinus_betulus_2CN1_Blue_A",199.5515,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_1CN1_Red","BUB_Cleidion_brevipetiolatum_1CN1","BUB_Cleidion_brevipetiolatum_1CN1_B","BUB_Cleidion_brevipetiolatum_1CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP6","C","Carpinus_betulus","LAK","LAK_Carpinus_betulus_2CN1_Red","LAK_Carpinus_betulus_2CN1","LAK_Carpinus_betulus_2CN1_C","LAK_Carpinus_betulus_2CN1_Red_C",136.69157,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_1CN1_Red","BUB_Cleidion_brevipetiolatum_1CN1","BUB_Cleidion_brevipetiolatum_1CN1_D","BUB_Cleidion_brevipetiolatum_1CN1_Red_D",NA,741.25728,NA,35.21659,0,0.047509267,NA,0.040029841,"DB",0.047509267
"SP6","A","Carpinus_betulus","LAK","LAK_Carpinus_betulus_3CN1_Red","LAK_Carpinus_betulus_3CN1","LAK_Carpinus_betulus_3CN1_A","LAK_Carpinus_betulus_3CN1_Red_A",230.17167,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_1CN1_White","BUB_Cleidion_brevipetiolatum_1CN1","BUB_Cleidion_brevipetiolatum_1CN1_B","BUB_Cleidion_brevipetiolatum_1CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP6","A","Carpinus_betulus","LAK","LAK_Carpinus_betulus_4CN1_Blue","LAK_Carpinus_betulus_4CN1","LAK_Carpinus_betulus_4CN1_A","LAK_Carpinus_betulus_4CN1_Blue_A",119.03488,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_1CN1_White","BUB_Cleidion_brevipetiolatum_1CN1","BUB_Cleidion_brevipetiolatum_1CN1_D","BUB_Cleidion_brevipetiolatum_1CN1_White_D",NA,662.508,NA,41.18074,0,0.062158857,NA,0.057419881,"DB",0.062158857
"SP6","C","Carpinus_betulus","LAK","LAK_Carpinus_betulus_4CN1_Red","LAK_Carpinus_betulus_4CN1","LAK_Carpinus_betulus_4CN1_C","LAK_Carpinus_betulus_4CN1_Red_C",185.49652,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_2CN1_Blue","BUB_Cleidion_brevipetiolatum_2CN1","BUB_Cleidion_brevipetiolatum_2CN1_B","BUB_Cleidion_brevipetiolatum_2CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP6","C","Carpinus_betulus","LAK","LAK_Carpinus_betulus_4CN1_White","LAK_Carpinus_betulus_4CN1","LAK_Carpinus_betulus_4CN1_C","LAK_Carpinus_betulus_4CN1_White_C",171.19736,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_2CN1_Blue","BUB_Cleidion_brevipetiolatum_2CN1","BUB_Cleidion_brevipetiolatum_2CN1_D","BUB_Cleidion_brevipetiolatum_2CN1_Blue_D",NA,921.31325,NA,54.57819,0,0.059239558,NA,0.05226312,"DB",0.059239558
"SP6","A","Carpinus_betulus","LAK","LAK_Carpinus_betulus_5CN1_White","LAK_Carpinus_betulus_5CN1","LAK_Carpinus_betulus_5CN1_A","LAK_Carpinus_betulus_5CN1_White_A",143.40816,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_2CN1_Red","BUB_Cleidion_brevipetiolatum_2CN1","BUB_Cleidion_brevipetiolatum_2CN1_B","BUB_Cleidion_brevipetiolatum_2CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP3","C","Fraxinus_excelsior","LAK","LAK_Fraxinus_excelsior_1CN1_White","LAK_Fraxinus_excelsior_1CN1","LAK_Fraxinus_excelsior_1CN1_C","LAK_Fraxinus_excelsior_1CN1_White_C",185.56363,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_2CN1_Red","BUB_Cleidion_brevipetiolatum_2CN1","BUB_Cleidion_brevipetiolatum_2CN1_D","BUB_Cleidion_brevipetiolatum_2CN1_Red_D",NA,807.93034,NA,26.74507,0,0.033103188,NA,0.023559241,"DB",0.033103188
"SP3","C","Fraxinus_excelsior","LAK","LAK_Fraxinus_excelsior_2CN1_Red","LAK_Fraxinus_excelsior_2CN1","LAK_Fraxinus_excelsior_2CN1_C","LAK_Fraxinus_excelsior_2CN1_Red_C",380.96576,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_2CN1_White","BUB_Cleidion_brevipetiolatum_2CN1","BUB_Cleidion_brevipetiolatum_2CN1_B","BUB_Cleidion_brevipetiolatum_2CN1_White_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP3","C","Fraxinus_excelsior","LAK","LAK_Fraxinus_excelsior_2CN1_White","LAK_Fraxinus_excelsior_2CN1","LAK_Fraxinus_excelsior_2CN1_C","LAK_Fraxinus_excelsior_2CN1_White_C",421.6396,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_2CN1_White","BUB_Cleidion_brevipetiolatum_2CN1","BUB_Cleidion_brevipetiolatum_2CN1_D","BUB_Cleidion_brevipetiolatum_2CN1_White_D",NA,797.91079,NA,60.60493,0,0.075954519,NA,0.06939226,"DB",0.075954519
"SP3","A","Fraxinus_excelsior","LAK","LAK_Fraxinus_excelsior_3CN1_Blue","LAK_Fraxinus_excelsior_3CN1","LAK_Fraxinus_excelsior_3CN1_A","LAK_Fraxinus_excelsior_3CN1_Blue_A",191.97046,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_3CN1_Blue","BUB_Cleidion_brevipetiolatum_3CN1","BUB_Cleidion_brevipetiolatum_3CN1_B","BUB_Cleidion_brevipetiolatum_3CN1_Blue_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
"SP3","A","Fraxinus_excelsior","LAK","LAK_Fraxinus_excelsior_4CN1_Blue","LAK_Fraxinus_excelsior_4CN1","LAK_Fraxinus_excelsior_4CN1_A","LAK_Fraxinus_excelsior_4CN1_Blue_A",189.92607,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","D","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_3CN1_Blue","BUB_Cleidion_brevipetiolatum_3CN1","BUB_Cleidion_brevipetiolatum_3CN1_D","BUB_Cleidion_brevipetiolatum_3CN1_Blue_D",NA,706.06225,NA,50.12788,0,0.070996403,NA,0.066917234,"DB",0.070996403
"SP3","A","Fraxinus_excelsior","LAK","LAK_Fraxinus_excelsior_4CN1_Red","LAK_Fraxinus_excelsior_4CN1","LAK_Fraxinus_excelsior_4CN1_A","LAK_Fraxinus_excelsior_4CN1_Red_A",182.51991,NA,0,NA,0,0,NA,NA,"AC",NA
"SP2","B","Cleidion_brevipetiolatum","BUB","BUB_Cleidion_brevipetiolatum_3CN1_Red","BUB_Cleidion_brevipetiolatum_3CN1","BUB_Cleidion_brevipetiolatum_3CN1_B","BUB_Cleidion_brevipetiolatum_3CN1_Red_B",NA,NA,NA,NA,0,0,NA,NA,"DB",NA
