"Species","SpeciesAnal","Site","TwigCodeNoPatrol","BranchCodeNoPatrol","Patrol","TwigCodeUnique","SaplingCodeUnique","TwigArea_sum_BD","TwigArea_sum_AC","TwigHerbivory_sum_BD","TwigHerbivory_sum_AC","TwigHerbProp_BD","TwigHerbProp_AC","StartEndDiff_BD","StartEndDiff_AC","PatrolGroup","TwigHerbProp_combined"
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_4CN2_White","DRO_Argyrodendron_peralatum_4CN2","D","DRO_Argyrodendron_peralatum_4CN2_White_D","DRO_Argyrodendron_peralatum_4CN2_D",663.085,NA,18.622,NA,0.028083881,0,0.042693937,NA,"DB",0.028083881
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_1CN2_White","DRO_Myristica_globosa_1CN2","D","DRO_Myristica_globosa_1CN2_White_D","DRO_Myristica_globosa_1CN2_D",989.402,NA,15.512,NA,0.015678157,0,0.042170813,NA,"DB",0.015678157
"SP2","Dysoxylum_sp.","DRO","DRO_Dysoxylum_sp._3CN2_Red","DRO_Dysoxylum_sp._3CN2","B","DRO_Dysoxylum_sp._3CN2_Red_B","DRO_Dysoxylum_sp._3CN2_B",1061.44862,NA,29.65699,NA,0.027940109,0,0.041857546,NA,"DB",0.027940109
"SP1","Cryptocarya_sp. ","DRO","DRO_Cryptocarya_sp. _5CN2_White","DRO_Cryptocarya_sp. _5CN2","D","DRO_Cryptocarya_sp. _5CN2_White_D","DRO_Cryptocarya_sp. _5CN2_D",771.678,NA,19.817,NA,0.0256804,0,0.041849457,NA,"DB",0.0256804
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_1CN2_Blue","DRO_Myristica_globosa_1CN2","B","DRO_Myristica_globosa_1CN2_Blue_B","DRO_Myristica_globosa_1CN2_B",923.9819,NA,12.14637,NA,0.01314568,0,0.041119475,NA,"DB",0.01314568
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_5CN2_Blue","DRO_Argyrodendron_peralatum_5CN2","B","DRO_Argyrodendron_peralatum_5CN2_Blue_B","DRO_Argyrodendron_peralatum_5CN2_B",911.08195,NA,22.25896,NA,0.024431348,0,0.040797177,NA,"DB",0.024431348
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_3CN2_Red","KAK_Pometia_pinnata_3CN2","B","KAK_Pometia_pinnata_3CN2_Red_B","KAK_Pometia_pinnata_3CN2_B",1023.587,NA,139.7482,NA,0.136527916,0,0.040716741,NA,"DB",0.136527916
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_3CN2_Blue","DRO_Haplostichanthus_ramiflorus_3CN2","B","DRO_Haplostichanthus_ramiflorus_3CN2_Blue_B","DRO_Haplostichanthus_ramiflorus_3CN2_B",90.92983,NA,1.7593,NA,0.019347886,0,0.039788418,NA,"DB",0.019347886
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_1CN2_Red","KAK_Pometia_pinnata_1CN2","B","KAK_Pometia_pinnata_1CN2_Red_B","KAK_Pometia_pinnata_1CN2_B",965.94708,NA,98.87339,NA,0.102359013,0,0.039500833,NA,"DB",0.102359013
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_5CN2_Red","DRO_Rockinghamia_angustifolia_5CN2","B","DRO_Rockinghamia_angustifolia_5CN2_Red_B","DRO_Rockinghamia_angustifolia_5CN2_B",913.76003,NA,20.50881,NA,0.022444416,0,0.03912864,NA,"DB",0.022444416
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_5CN2_Red","DRO_Haplostichanthus_ramiflorus_5CN2","B","DRO_Haplostichanthus_ramiflorus_5CN2_Red_B","DRO_Haplostichanthus_ramiflorus_5CN2_B",980.93813,NA,11.34371,NA,0.011564144,0,0.039036697,NA,"DB",0.011564144
"SP2","Dysoxylum_sp.","DRO","DRO_Dysoxylum_sp._3CN2_White","DRO_Dysoxylum_sp._3CN2","B","DRO_Dysoxylum_sp._3CN2_White_B","DRO_Dysoxylum_sp._3CN2_B",569.28498,NA,14.38652,NA,0.02527121,0,0.038931666,NA,"DB",0.02527121
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_2CN2_Blue","DRO_Myristica_globosa_2CN2","B","DRO_Myristica_globosa_2CN2_Blue_B","DRO_Myristica_globosa_2CN2_B",895.81043,NA,8.49934,NA,0.009487878,0,0.037795308,NA,"DB",0.009487878
"SP1","Cryptocarya_sp. ","DRO","DRO_Cryptocarya_sp. _5CN2_Red","DRO_Cryptocarya_sp. _5CN2","D","DRO_Cryptocarya_sp. _5CN2_Red_D","DRO_Cryptocarya_sp. _5CN2_D",732.328,NA,22.27,NA,0.030409871,0,0.03728056,NA,"DB",0.030409871
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_2CN2_Blue","DRO_Argyrodendron_peralatum_2CN2","B","DRO_Argyrodendron_peralatum_2CN2_Blue_B","DRO_Argyrodendron_peralatum_2CN2_B",954.47052,NA,13.00297,NA,0.013623229,0,0.036528909,NA,"DB",0.013623229
"SP3","Cleistanthus _myrianthus","DRO","DRO_Cleistanthus _myrianthus_3CN2_Red","DRO_Cleistanthus _myrianthus_3CN2","B","DRO_Cleistanthus _myrianthus_3CN2_Red_B","DRO_Cleistanthus _myrianthus_3CN2_B",810.65078,NA,22.98875,NA,0.028358389,0,0.03437529,NA,"DB",0.028358389
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_4CN2_Red","DRO_Myristica_globosa_4CN2","B","DRO_Myristica_globosa_4CN2_Red_B","DRO_Myristica_globosa_4CN2_B",858.36512,NA,27.76784,NA,0.032349684,0,0.03371822,NA,"DB",0.032349684
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_3CN2_Blue","DRO_Myristica_globosa_3CN2","D","DRO_Myristica_globosa_3CN2_Blue_D","DRO_Myristica_globosa_3CN2_D",886.076,NA,54.304,NA,0.061285939,0,0.032720556,NA,"DB",0.061285939
"SP2","Dysoxylum_sp.","DRO","DRO_Dysoxylum_sp._4CN2_Red","DRO_Dysoxylum_sp._4CN2","B","DRO_Dysoxylum_sp._4CN2_Red_B","DRO_Dysoxylum_sp._4CN2_B",1166.7024,NA,19.26659,NA,0.016513714,0,0.032473786,NA,"DB",0.016513714
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_3CN2_Blue","DRO_Argyrodendron_peralatum_3CN2","B","DRO_Argyrodendron_peralatum_3CN2_Blue_B","DRO_Argyrodendron_peralatum_3CN2_B",959.16476,NA,25.77293,NA,0.02687018,0,0.032257393,NA,"DB",0.02687018
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_1CN2_Blue","EUC_Acacia_parramattensis_1CN2","D","EUC_Acacia_parramattensis_1CN2_Blue_D","EUC_Acacia_parramattensis_1CN2_D",177.78241,NA,0.31786,NA,0.001787916,0,0.031975439,NA,"DB",0.001787916
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_1CN2_White","DRO_Rockinghamia_angustifolia_1CN2","B","DRO_Rockinghamia_angustifolia_1CN2_White_B","DRO_Rockinghamia_angustifolia_1CN2_B",870.91924,NA,26.66197,NA,0.030613596,0,0.031648789,NA,"DB",0.030613596
"SP2","Dysoxylum_sp.","DRO","DRO_Dysoxylum_sp._1CN2_Blue","DRO_Dysoxylum_sp._1CN2","D","DRO_Dysoxylum_sp._1CN2_Blue_D","DRO_Dysoxylum_sp._1CN2_D",989.134,NA,47.548,NA,0.048070332,0,0.031645127,NA,"DB",0.048070332
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_5CN2_Red","DRO_Myristica_globosa_5CN2","B","DRO_Myristica_globosa_5CN2_Red_B","DRO_Myristica_globosa_5CN2_B",884.21908,NA,26.61542,NA,0.030100481,0,0.031629504,NA,"DB",0.030100481
"SP2","Dysoxylum_sp.","DRO","DRO_Dysoxylum_sp._4CN2_Blue","DRO_Dysoxylum_sp._4CN2","D","DRO_Dysoxylum_sp._4CN2_Blue_D","DRO_Dysoxylum_sp._4CN2_D",1143.543,NA,36.353,NA,0.031789797,0,0.031398444,NA,"DB",0.031789797
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_2CN2_Red","DRO_Myristica_globosa_2CN2","B","DRO_Myristica_globosa_2CN2_Red_B","DRO_Myristica_globosa_2CN2_B",1059.83318,NA,9.18039,NA,0.008662109,0,0.031130083,NA,"DB",0.008662109
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_2CN2_Blue","DRO_Rockinghamia_angustifolia_2CN2","B","DRO_Rockinghamia_angustifolia_2CN2_Blue_B","DRO_Rockinghamia_angustifolia_2CN2_B",874.89051,NA,21.81336,NA,0.024932674,0,0.0310195,NA,"DB",0.024932674
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_2CN2_White","DRO_Argyrodendron_peralatum_2CN2","B","DRO_Argyrodendron_peralatum_2CN2_White_B","DRO_Argyrodendron_peralatum_2CN2_B",806.9522,NA,17.77993,NA,0.022033436,0,0.030791194,NA,"DB",0.022033436
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_3CN2_Blue","DRO_Argyrodendron_peralatum_3CN2","D","DRO_Argyrodendron_peralatum_3CN2_Blue_D","DRO_Argyrodendron_peralatum_3CN2_D",514.799,NA,20.072,NA,0.038989975,0,0.030790091,NA,"DB",0.038989975
"SP1","Cryptocarya_sp. ","DRO","DRO_Cryptocarya_sp. _3CN2_Blue","DRO_Cryptocarya_sp. _3CN2","D","DRO_Cryptocarya_sp. _3CN2_Blue_D","DRO_Cryptocarya_sp. _3CN2_D",442.838,NA,20.031,NA,0.045233246,0,0.030491732,NA,"DB",0.045233246
"SP7","Endiandra_leptodendron","DRO","DRO_Endiandra_leptodendron_4CN2_Blue","DRO_Endiandra_leptodendron_4CN2","D","DRO_Endiandra_leptodendron_4CN2_Blue_D","DRO_Endiandra_leptodendron_4CN2_D",1773.846,NA,89.461,NA,0.050433352,0,0.02978413,NA,"DB",0.050433352
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_5CN2_White","DRO_Haplostichanthus_ramiflorus_5CN2","B","DRO_Haplostichanthus_ramiflorus_5CN2_White_B","DRO_Haplostichanthus_ramiflorus_5CN2_B",1034.60502,NA,10.49045,NA,0.01013957,0,0.029774753,NA,"DB",0.01013957
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_1CN2_Red","DRO_Rockinghamia_angustifolia_1CN2","B","DRO_Rockinghamia_angustifolia_1CN2_Red_B","DRO_Rockinghamia_angustifolia_1CN2_B",872.56344,NA,25.67853,NA,0.02942884,0,0.029745248,NA,"DB",0.02942884
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_1CN2_Red","DRO_Myristica_globosa_1CN2","B","DRO_Myristica_globosa_1CN2_Red_B","DRO_Myristica_globosa_1CN2_B",899.85376,NA,18.03856,NA,0.020046102,0,0.02949865,NA,"DB",0.020046102
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_3CN2_White","DRO_Haplostichanthus_ramiflorus_3CN2","B","DRO_Haplostichanthus_ramiflorus_3CN2_White_B","DRO_Haplostichanthus_ramiflorus_3CN2_B",94.86572,NA,3.83787,NA,0.040455815,0,0.029300654,NA,"DB",0.040455815
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_4CN2_Blue","KAK_Pometia_pinnata_4CN2","D","KAK_Pometia_pinnata_4CN2_Blue_D","KAK_Pometia_pinnata_4CN2_D",725.733,NA,47.749,NA,0.065794169,0,0.028778377,NA,"DB",0.065794169
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_2CN2_White","DRO_Myristica_globosa_2CN2","B","DRO_Myristica_globosa_2CN2_White_B","DRO_Myristica_globosa_2CN2_B",762.12184,NA,10.84552,NA,0.01423069,0,0.028387441,NA,"DB",0.01423069
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_5CN2_Red","DRO_Argyrodendron_peralatum_5CN2","B","DRO_Argyrodendron_peralatum_5CN2_Red_B","DRO_Argyrodendron_peralatum_5CN2_B",909.88478,NA,25.65804,NA,0.028199219,0,0.02821367,NA,"DB",0.028199219
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_3CN2_Red","DRO_Rockinghamia_angustifolia_3CN2","B","DRO_Rockinghamia_angustifolia_3CN2_Red_B","DRO_Rockinghamia_angustifolia_3CN2_B",879.12678,NA,15.80414,NA,0.017977089,0,0.028043656,NA,"DB",0.017977089
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_1CN2_Blue","DRO_Argyrodendron_peralatum_1CN2","B","DRO_Argyrodendron_peralatum_1CN2_Blue_B","DRO_Argyrodendron_peralatum_1CN2_B",898.18159,NA,20.99655,NA,0.023376732,0,0.027819261,NA,"DB",0.023376732
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_5CN2_White","DRO_Myristica_globosa_5CN2","D","DRO_Myristica_globosa_5CN2_White_D","DRO_Myristica_globosa_5CN2_D",798.64536,NA,32.41921,NA,0.040592748,0,0.027476047,NA,"DB",0.040592748
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_4CN2_Blue","EUC_Acacia_parramattensis_4CN2","D","EUC_Acacia_parramattensis_4CN2_Blue_D","EUC_Acacia_parramattensis_4CN2_D",55.95239,NA,0.08851,NA,0.001581881,0,0.027157693,NA,"DB",0.001581881
"SP1","Cryptocarya_sp. ","DRO","DRO_Cryptocarya_sp. _5CN2_Blue","DRO_Cryptocarya_sp. _5CN2","D","DRO_Cryptocarya_sp. _5CN2_Blue_D","DRO_Cryptocarya_sp. _5CN2_D",883.077,NA,41.618,NA,0.047128393,0,0.026622957,NA,"DB",0.047128393
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_1CN2_White","DRO_Argyrodendron_peralatum_1CN2","B","DRO_Argyrodendron_peralatum_1CN2_White_B","DRO_Argyrodendron_peralatum_1CN2_B",897.34226,NA,23.29347,NA,0.025958289,0,0.026110386,NA,"DB",0.025958289
"SP6","Rockinghamia_angustifolia","DRO","DRO_Rockinghamia_angustifolia_3CN2_Blue","DRO_Rockinghamia_angustifolia_3CN2","B","DRO_Rockinghamia_angustifolia_3CN2_Blue_B","DRO_Rockinghamia_angustifolia_3CN2_B",986.12918,NA,23.50375,NA,0.023834352,0,0.025317608,NA,"DB",0.023834352
"SP7","Endiandra_leptodendron","DRO","DRO_Endiandra_leptodendron_5CN2_Red","DRO_Endiandra_leptodendron_5CN2","D","DRO_Endiandra_leptodendron_5CN2_Red_D","DRO_Endiandra_leptodendron_5CN2_D",1135.2703,NA,45.41616,NA,0.040004711,0,0.024052567,NA,"DB",0.040004711
"SP4","Haplostichanthus_ramiflorus","DRO","DRO_Haplostichanthus_ramiflorus_1CN2_Red","DRO_Haplostichanthus_ramiflorus_1CN2","D","DRO_Haplostichanthus_ramiflorus_1CN2_Red_D","DRO_Haplostichanthus_ramiflorus_1CN2_D",677.986,NA,38.154,NA,0.056275498,0,0.023950835,NA,"DB",0.056275498
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_3CN2_Red","DRO_Myristica_globosa_3CN2","B","DRO_Myristica_globosa_3CN2_Red_B","DRO_Myristica_globosa_3CN2_B",936.02884,NA,19.00736,NA,0.020306383,0,0.023592448,NA,"DB",0.020306383
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_3CN2_Red","DRO_Argyrodendron_peralatum_3CN2","B","DRO_Argyrodendron_peralatum_3CN2_Red_B","DRO_Argyrodendron_peralatum_3CN2_B",934.49722,NA,25.01269,NA,0.026765933,0,0.023147704,NA,"DB",0.026765933
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_3CN2_White","DRO_Argyrodendron_peralatum_3CN2","B","DRO_Argyrodendron_peralatum_3CN2_White_B","DRO_Argyrodendron_peralatum_3CN2_B",1039.31859,NA,29.38017,NA,0.028268685,0,0.023088773,NA,"DB",0.028268685
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_5CN2_Blue","KAK_Pometia_pinnata_5CN2","B","KAK_Pometia_pinnata_5CN2_Blue_B","KAK_Pometia_pinnata_5CN2_B",1305.38291,NA,110.92687,NA,0.084976499,0,0.023069138,NA,"DB",0.084976499
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_5CN2_Blue","DRO_Myristica_globosa_5CN2","B","DRO_Myristica_globosa_5CN2_Blue_B","DRO_Myristica_globosa_5CN2_B",932.88727,NA,29.54791,NA,0.031673613,0,0.022590898,NA,"DB",0.031673613
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_2CN2_Blue","EUC_Acacia_parramattensis_2CN2","D","EUC_Acacia_parramattensis_2CN2_Blue_D","EUC_Acacia_parramattensis_2CN2_D",273.17384,NA,0.6094,NA,0.002230814,0,0.021751229,NA,"DB",0.002230814
"SP1","Bursaria_spinosa","EUC","EUC_Bursaria_spinosa_1CN2_Blue","EUC_Bursaria_spinosa_1CN2","D","EUC_Bursaria_spinosa_1CN2_Blue_D","EUC_Bursaria_spinosa_1CN2_D",1.492,NA,0.003,NA,0.002010724,0,0.020849192,NA,"DB",0.002010724
"SP1","Pometia_pinnata","KAK","KAK_Pometia_pinnata_1CN2_Blue","KAK_Pometia_pinnata_1CN2","D","KAK_Pometia_pinnata_1CN2_Blue_D","KAK_Pometia_pinnata_1CN2_D",1214.227,NA,28.333,NA,0.023334187,0,0.020475067,NA,"DB",0.023334187
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_3CN2_Red","EUC_Acacia_parramattensis_3CN2","D","EUC_Acacia_parramattensis_3CN2_Red_D","EUC_Acacia_parramattensis_3CN2_D",119.00899,NA,0.48373,NA,0.004064651,0,0.020354787,NA,"DB",0.004064651
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_1CN2_White","EUC_Acacia_parramattensis_1CN2","D","EUC_Acacia_parramattensis_1CN2_White_D","EUC_Acacia_parramattensis_1CN2_D",214.85149,NA,0.27153,NA,0.001263803,0,0.020249145,NA,"DB",0.001263803
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_4CN2_White","DRO_Argyrodendron_peralatum_4CN2","B","DRO_Argyrodendron_peralatum_4CN2_White_B","DRO_Argyrodendron_peralatum_4CN2_B",887.48597,NA,21.49816,NA,0.024223662,0,0.020245856,NA,"DB",0.024223662
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_2CN2_White","EUC_Acacia_parramattensis_2CN2","D","EUC_Acacia_parramattensis_2CN2_White_D","EUC_Acacia_parramattensis_2CN2_D",169.51072,NA,0.21158,NA,0.001248181,0,0.020183748,NA,"DB",0.001248181
"SP1","Bursaria_spinosa","EUC","EUC_Bursaria_spinosa_4CN2_Blue","EUC_Bursaria_spinosa_4CN2","D","EUC_Bursaria_spinosa_4CN2_Blue_D","EUC_Bursaria_spinosa_4CN2_D",1.676,NA,0.001,NA,0.000597,0,0.020014904,NA,"DB",0.000597
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_5CN2_White","DRO_Argyrodendron_peralatum_5CN2","B","DRO_Argyrodendron_peralatum_5CN2_White_B","DRO_Argyrodendron_peralatum_5CN2_B",819.50973,NA,25.00984,NA,0.030518051,0,0.019990611,NA,"DB",0.030518051
"SP2","Dysoxylum_sp.","DRO","DRO_Dysoxylum_sp._1CN2_White","DRO_Dysoxylum_sp._1CN2","B","DRO_Dysoxylum_sp._1CN2_White_B","DRO_Dysoxylum_sp._1CN2_B",996.479,NA,30.16284,NA,0.030269419,0,0.019696418,NA,"DB",0.030269419
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_5CN2_Red","DRO_Argyrodendron_peralatum_5CN2","D","DRO_Argyrodendron_peralatum_5CN2_Red_D","DRO_Argyrodendron_peralatum_5CN2_D",502.068,NA,36.735,NA,0.07316738,0,0.019565072,NA,"DB",0.07316738
"SP8","Betula_maximowicziana","TOM","TOM_Betula_maximowicziana_3CN2_Blue","TOM_Betula_maximowicziana_3CN2","D","TOM_Betula_maximowicziana_3CN2_Blue_D","TOM_Betula_maximowicziana_3CN2_D",58.7655,NA,5.563,NA,0.094664386,0,0.01953161,NA,"DB",0.094664386
"SP5","Myristica_globosa","DRO","DRO_Myristica_globosa_3CN2_Blue","DRO_Myristica_globosa_3CN2","B","DRO_Myristica_globosa_3CN2_Blue_B","DRO_Myristica_globosa_3CN2_B",935.59601,NA,19.20477,NA,0.020526776,0,0.019523125,NA,"DB",0.020526776
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_3CN2_Blue","EUC_Acacia_parramattensis_3CN2","D","EUC_Acacia_parramattensis_3CN2_Blue_D","EUC_Acacia_parramattensis_3CN2_D",122.93537,NA,0.55784,NA,0.004537669,0,0.019266319,NA,"DB",0.004537669
"SP1","Bursaria_spinosa","EUC","EUC_Bursaria_spinosa_4CN2_Red","EUC_Bursaria_spinosa_4CN2","D","EUC_Bursaria_spinosa_4CN2_Red_D","EUC_Bursaria_spinosa_4CN2_D",2.73,NA,0.006,NA,0.002197802,0,0.019114009,NA,"DB",0.002197802
"SP3","Eucalyptus_tereticornis","EUC","EUC_Eucalyptus_tereticornis_3CN2_Red","EUC_Eucalyptus_tereticornis_3CN2","B","EUC_Eucalyptus_tereticornis_3CN2_Red_B","EUC_Eucalyptus_tereticornis_3CN2_B",289.768,NA,79.00731,NA,0.272657126,0,0.018210737,NA,"DB",0.272657126
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_2CN2_Red","DRO_Argyrodendron_peralatum_2CN2","B","DRO_Argyrodendron_peralatum_2CN2_Red_B","DRO_Argyrodendron_peralatum_2CN2_B",1044.02622,NA,27.88862,NA,0.026712567,0,0.018021116,NA,"DB",0.026712567
"SP1","Bursaria_spinosa","EUC","EUC_Bursaria_spinosa_2CN2_Blue","EUC_Bursaria_spinosa_2CN2","D","EUC_Bursaria_spinosa_2CN2_Blue_D","EUC_Bursaria_spinosa_2CN2_D",2.427,NA,0,NA,0,0,0.017690897,NA,"DB",NA
"SP1","Bursaria_spinosa","EUC","EUC_Bursaria_spinosa_1CN2_Red","EUC_Bursaria_spinosa_1CN2","D","EUC_Bursaria_spinosa_1CN2_Red_D","EUC_Bursaria_spinosa_1CN2_D",3.663,NA,0.017,NA,0.004641005,0,0.017552638,NA,"DB",0.004641005
"SP2","Acacia_parramattensis","EUC","EUC_Acacia_parramattensis_5CN2_Blue","EUC_Acacia_parramattensis_5CN2","D","EUC_Acacia_parramattensis_5CN2_Blue_D","EUC_Acacia_parramattensis_5CN2_D",117.26921,NA,1.23604,NA,0.010540192,0,0.017451782,NA,"DB",0.010540192
"SP8","Argyrodendron_peralatum","DRO","DRO_Argyrodendron_peralatum_4CN2_Blue","DRO_Argyrodendron_peralatum_4CN2","D","DRO_Argyrodendron_peralatum_4CN2_Blue_D","DRO_Argyrodendron_peralatum_4CN2_D",644.793,NA,41.639,NA,0.064577314,0,0.017293319,NA,"DB",0.064577314
